| Scénario                           |             Capture Stripe |      Transfer vendeur | Order       |
| ---------------------------------- | -------------------------: | --------------------: | ----------- |
| 🟢 1 vendeur accepte               |                      100 % |                     ✅ | `PAID`      |
| 🔴 1 vendeur refuse                |        0 % → annulation PI |                     ❌ | `CANCELLED` |
| 🟢🟢 2 vendeurs acceptent          |                      100 % |             ✅ A + ✅ B | `PAID`      |
| 🟢🔴 A accepte / B refuse          |                  montant A |             ✅ A / ❌ B | `PAID`      |
| 🔴🟢 A refuse / B accepte          |                  montant B |             ❌ A / ✅ B | `PAID`      |
| 🔴🔴 Tous refusent                 |        0 % → annulation PI |                     ❌ | `CANCELLED` |
| ⏱️ A accepte / B ne répond pas 48h |                  montant A |                   ✅ A | `PAID`      |
| ⏱️ Aucun vendeur ne répond         |        0 % → annulation PI |                     ❌ | `CANCELLED` |
| ⏱️ A refuse / B ne répond pas      |        0 % → annulation PI |                     ❌ | `CANCELLED` |
| 🔁 Double clic sur accept          |          une seule capture |      un seul Transfer | stable      |
| 🔁 Double clic sur refuse          |       aucune double action | aucun double Transfer | stable      |
| ❌ Token invalide                   |                     aucune |                aucune | inchangé    |
| ⏰ Token expiré                     |                     aucune |                aucune | inchangé    |
| ❌ vendeur sans Connect             | capture à gérer proprement |                     ❌ | à vérifier  |
